Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;RingPosition_x;RingPosition_y;RingPosition_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;PalmPosition_x;PalmPosition_y;PalmPosition_z;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly;
10252;0.0150;-0.0156;1.2123;0.0048;9.7310;5.7001;0.8281;True;True;0.2054;0.7729;0.0479;12.8351;91.1011;0.1095;0.2050;0.7708;0.1370;13.7345;51.6729;3.2043;-151.5644;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10256;0.0946;-0.0158;1.2132;0.0048;9.0827;5.5689;0.8815;True;True;0.2055;0.7732;0.0478;12.7940;91.1356;0.1316;0.2051;0.7711;0.1368;0.0077;-0.0050;0.0000;-151.5644;0.2001;0.7413;0.1409;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10260;0.1508;-0.0163;1.2138;0.0045;8.7967;5.3434;0.8832;True;True;0.2057;0.7728;0.0481;12.6741;91.1559;0.1396;0.2054;0.7706;0.1371;0.0005;-0.0059;0.0079;-151.5644;0.2004;0.7408;0.1412;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10264;0.2110;-0.0167;1.2140;0.0040;8.7618;5.2279;0.7855;True;True;0.2057;0.7724;0.0481;12.4852;91.1491;0.0991;0.2054;0.7703;0.1371;0.0013;-0.0082;-0.0023;-151.5644;0.2005;0.7404;0.1412;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10268;0.2680;-0.0168;1.2134;0.0035;9.0920;5.3637;0.7016;True;True;0.2059;0.7721;0.0482;12.4473;91.1181;0.0234;0.2055;0.7701;0.1372;0.0028;0.0005;0.0035;-151.5644;0.2006;0.7402;0.1414;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10272;0.3253;-0.0150;1.2114;0.0030;10.2798;6.5058;0.4950;True;True;0.2058;0.7720;0.0480;12.4843;91.1442;0.0366;0.2055;0.7700;0.1371;-0.0015;0.0011;-0.0105;-151.5644;0.2006;0.7402;0.1412;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10276;0.3804;-0.0111;1.2078;0.0022;12.8478;9.6105;1.3339;True;True;0.2057;0.7716;0.0482;12.4406;91.1298;0.0358;0.2054;0.7696;0.1373;0.0052;-0.0069;0.0057;-151.5644;0.2005;0.7398;0.1414;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10280;0.4367;-0.0062;1.2034;0.0021;16.0232;13.5575;2.3851;True;True;0.2058;0.7718;0.0483;12.3031;91.1374;0.0678;0.2055;0.7698;0.1374;-0.0024;0.0085;-0.0022;-151.5644;0.2007;0.7399;0.1415;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10284;0.4947;-0.0014;1.1984;0.0040;18.6561;17.4550;3.1795;True;True;0.2061;0.7704;0.0480;12.3148;91.0415;359.7910;0.2057;0.7688;0.1371;0.0152;-0.0310;-0.0176;-151.5644;0.2009;0.7389;0.1413;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10288;0.5486;0.0040;1.1942;0.0083;20.1577;20.1722;4.2198;True;True;0.2209;0.7764;0.0421;13.5229;87.8558;5.8217;0.2134;0.7657;0.1302;0.5641;0.3485;-0.1871;-152.2701;0.2078;0.7357;0.1309;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
