Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;RPalmPosition_x;RPalmPosition_y;RPalmPosition_z;RIsPinchGrabbing;RIsPalmGrabbing;RIsAutogripGrabbing;RStrengthThumbIndex;RStrengthThumbMiddle;RStrengthThumbRing;RStrengthThumbPinky;RStrengthPalmIndex;RStrengthPalmMiddle;RStrengthPalmRing;RStrengthPalmPinky;RGrabIdentifier;RMovedCorrectly;LPalmPosition_x;LPalmPosition_y;LPalmPosition_z;LIsPinchGrabbing;LIsPalmGrabbing;LIsAutogripGrabbing;LStrengthThumbIndex;LStrengthThumbMiddle;LStrengthThumbRing;LStrengthThumbPinky;LStrengthPalmIndex;LStrengthPalmMiddle;LStrengthPalmRing;LStrengthPalmPinky;LGrabIdentifier;LMovedCorrectly;
9184;0.0309;0.0071;1.1715;15.0986;1.1179;271.7375;353.8947;True;True;0.2045;0.7087;15.0136;1.1644;270.1585;8.4746;-0.0097;0.0150;-0.0006;0.0000;True;True;-0.2114;0.7009;15.0271;3.1987;271.6287;4.1043;-0.0020;0.0015;-0.0002;0.0000;14.9312;0.6594;-0.2068;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
9188;0.0834;0.0069;1.1713;15.0988;1.1564;271.7200;353.9680;True;True;0.2043;0.7095;15.0138;1.1514;270.1677;8.5252;0.0001;0.0117;0.0051;0.0000;True;True;-0.2115;0.7010;15.0272;3.3432;271.5546;4.2061;-0.0007;-0.0001;0.0019;0.0000;14.9313;0.6593;-0.2068;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
9192;0.1393;0.0065;1.1712;15.0987;1.1662;271.6890;353.9911;True;True;0.2043;0.7101;15.0141;1.0894;270.1413;8.5947;0.0000;0.0074;0.0035;0.0000;True;True;-0.2114;0.7010;15.0273;3.3476;271.4866;4.2759;0.0028;0.0029;0.0018;0.0000;14.9315;0.6593;-0.2069;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
9196;0.1942;0.0061;1.1713;15.0985;1.1621;271.6211;354.0169;True;True;0.2043;0.7103;15.0141;1.0901;270.1089;8.6584;-0.0020;0.0036;-0.0019;0.0000;True;True;-0.2112;0.7012;15.0274;3.3020;271.4299;4.2974;0.0033;0.0020;0.0005;0.0000;14.9316;0.6594;-0.2068;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
9200;0.2498;0.0056;1.1711;15.0984;1.2571;271.4916;354.0383;True;True;0.2043;0.7102;15.0140;1.1103;270.1489;8.7085;-0.0007;-0.0037;-0.0039;0.0000;True;True;-0.2112;0.7009;15.0273;3.3344;271.4599;4.2204;-0.0023;-0.0045;-0.0012;0.0000;14.9315;0.6593;-0.2068;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
9204;0.3065;0.0050;1.1710;15.0984;1.3219;271.3251;354.0566;True;True;0.2043;0.7101;15.0139;1.0881;270.2174;8.7589;0.0005;-0.0002;0.0029;0.0000;True;True;-0.2114;0.7007;15.0274;3.2900;271.5244;4.1563;-0.0031;-0.0024;0.0016;0.0000;14.9314;0.6592;-0.2068;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
9208;0.3611;0.0045;1.1709;15.0983;1.3352;271.1320;354.1028;True;True;0.2043;0.7100;15.0138;1.0337;270.2854;8.8406;0.0010;0.0006;-0.0004;0.0000;True;True;-0.2116;0.7007;15.0274;3.2212;271.5555;4.1574;0.0015;0.0015;0.0007;0.0000;14.9315;0.6591;-0.2070;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
9212;0.4166;0.0041;1.1707;15.0984;1.2792;271.0007;354.1834;True;True;0.2043;0.7101;15.0138;0.9736;270.3174;8.9347;-0.0014;0.0036;-0.0016;0.0000;True;True;-0.2115;0.7008;15.0274;3.1655;271.5520;4.1975;-0.0011;0.0023;-0.0014;0.0000;14.9315;0.6592;-0.2070;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
9216;0.4724;0.0041;1.1705;15.0985;1.1747;270.9736;354.2639;True;True;0.2043;0.7103;15.0138;0.9021;270.3774;9.1204;0.0013;0.0023;0.0005;0.0000;True;True;-0.2114;0.7009;15.0273;3.1388;271.5319;4.2691;0.0030;0.0020;-0.0013;0.0000;14.9315;0.6592;-0.2070;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
9220;0.5281;0.0044;1.1705;15.0984;1.1818;271.0165;354.1730;True;True;0.2044;0.7105;15.0138;0.8428;270.3704;9.3362;-0.0009;0.0019;0.0020;0.0000;True;True;-0.2115;0.7009;15.0273;3.1392;271.5332;4.2992;-0.0028;-0.0007;0.0012;0.0000;14.9315;0.6591;-0.2070;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
9224;0.5833;0.0046;1.1705;15.0984;1.3655;270.9771;354.0957;True;True;0.2042;0.7106;15.0138;0.8730;270.3459;9.5555;-0.0060;0.0019;-0.0030;0.0000;True;True;-0.2115;0.7010;15.0273;3.1435;271.5361;4.3297;0.0009;0.0054;-0.0001;0.0000;14.9315;0.6591;-0.2071;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
9228;0.6391;0.0047;1.1708;15.0981;1.5449;270.8797;354.0391;True;True;0.2041;0.7106;15.0140;0.9856;270.3499;9.6043;0.0010;-0.0003;0.0047;0.0000;True;True;-0.2114;0.7010;15.0272;3.0905;271.5067;4.4187;0.0022;-0.0031;-0.0021;0.0000;14.9315;0.6589;-0.2070;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
9232;0.6946;0.0045;1.1708;15.0981;1.6363;270.7421;353.9769;True;True;0.2040;0.7106;15.0144;1.0422;270.3445;9.5449;-0.0014;-0.0019;0.0100;0.0000;True;True;-0.2113;0.7011;15.0271;2.9704;271.3596;4.6963;0.0010;0.0036;-0.0022;0.0000;14.9316;0.6586;-0.2073;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
9236;0.7496;0.0041;1.1709;15.0978;1.6753;270.5695;353.9594;True;True;0.2039;0.7105;15.0147;1.0392;270.3694;9.4998;-0.0019;-0.0011;0.0044;0.0000;True;True;-0.2113;0.7013;15.0271;2.9871;271.3049;4.8022;-0.0004;0.0055;-0.0001;0.0000;14.9316;0.6587;-0.2074;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
9240;0.8055;0.0033;1.1709;15.0977;1.8903;270.2690;353.9835;True;True;0.2040;0.7104;15.0148;0.9985;270.4251;9.4543;0.0005;-0.0037;0.0023;0.0000;True;True;-0.2112;0.7016;15.0271;3.0911;271.2199;4.9603;-0.0001;0.0059;-0.0009;0.0000;14.9317;0.6587;-0.2074;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
9244;0.8614;0.0017;1.1710;15.0975;2.3470;269.8260;354.0782;True;True;0.2040;0.7102;15.0150;0.9916;270.4455;9.4263;0.0017;-0.0016;0.0033;0.0000;True;True;-0.2111;0.7019;15.0271;3.1224;271.2159;5.0225;0.0051;0.0045;0.0028;0.0000;14.9318;0.6589;-0.2072;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
9248;0.9165;-0.0003;1.1711;15.0974;2.8663;269.2509;354.0512;True;True;0.2040;0.7103;15.0148;0.9897;270.4484;9.4554;-0.0023;0.0042;-0.0060;0.0000;True;True;-0.2109;0.7022;15.0272;3.1273;271.2153;5.0380;0.0027;0.0042;0.0018;0.0000;14.9319;0.6591;-0.2070;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
9252;0.9726;-0.0024;1.1712;15.0975;3.2723;268.7679;353.9970;True;True;0.2038;0.7107;15.0145;0.8955;270.5457;9.6007;-0.0063;0.0049;-0.0069;0.0000;True;True;-0.2108;0.7023;15.0272;3.0832;271.2374;5.0185;0.0004;0.0018;-0.0022;0.0000;14.9319;0.6593;-0.2069;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
